province,candidate,votes,winner,district_name,constituency,party
Koshi,Ramchandra Upreti,7659,False,Jhapa,1,UML
Koshi,Dev Raj Ghimire,11368,False,Jhapa,2,UML
Koshi,Hari Bahadur Rajbanshi,7492,False,Jhapa,3,UML
Koshi,Lal Prasad Sawa Limbu,11986,False,Jhapa,4,UML
Koshi,KP Sharma Oli,18734,False,Jhapa,5,UML
Koshi,Ghana Shyam Khatiwada,9823,False,Morang,1,UML
Koshi,Dilip Kumar Agrawal,15624,False,Morang,2,UML
Koshi,Iran Kumar Rai,7752,False,Morang,3,UML
Koshi,Jivan Ghimire,6933,False,Morang,4,UML
Koshi,Manoj Kumar Agrawal,6945,False,Morang,5,UML
Koshi,Binod Prasad Dhakal,8317,False,Morang,6,UML
Koshi,Tika Ram Limbu,6463,False,Sunsari,1,UML
Koshi,Sujan Lama,8303,False,Sunsari,2,UML
Koshi,Bhagwati Chaudhary,15083,False,Sunsari,3,UML
Koshi,Jagdish Prasad Kusiyaith,8631,False,Sunsari,4,UML
Koshi,Rajendra Kumar Rai,18132,True,Dhankuta,1,UML
Koshi,Arjun Kumar Karki,15636,True,Sankhuwasabha,1,UML
Koshi,Sherdhan Rai,14750,False,Bhojpur,1,UML
Koshi,Bhanu Bhakta Dhakal,10682,False,Terhathum,1,UML
Koshi,Asmita Thapa,10720,False,Okhaldhunga,1,UML
Koshi,Dev Bikram Rai,12714,False,Khotang,1,UML
Koshi,Kalpana Rai,8228,False,Solukhumbu,1,UML
Koshi,Durga Kumar Thapa,9206,False,Udayapur,1,UML
Koshi,Ambar Bahadur Raimajhi,7648,False,Udayapur,2,UML
Madhesh,Suman Raj Pyakurel,7652,False,Saptari,1,UML
Madhesh,Mohammad Jiaul Rahman,883,False,Saptari,2,UML
Madhesh,Tarakant Chaudhary,6715,False,Saptari,3,UML
Madhesh,Ganga Prasad Chaudhary,1177,False,Saptari,4,UML
Madhesh,Ram Shankar Yadav,7886,False,Siraha,1,UML
Madhesh,Nabin Kumar Yadav,6713,False,Siraha,2,UML
Madhesh,Lilanath Shrestha,10156,False,Siraha,3,UML
Madhesh,Dharmanath Prasad Sah,4227,False,Siraha,4,UML
Madhesh,Ramchandra Mandal,9220,False,Dhanusha,1,UML
Madhesh,Umashankar Argariya,10153,False,Dhanusha,2,UML
Madhesh,Juli Kumari Mahato (Mahaseth),9786,False,Dhanusha,3,UML
Madhesh,Raghubir Mahaseth,11529,False,Dhanusha,4,UML
Madhesh,Laxmi Mahato Koir,6591,False,Mahottari,1,UML
Madhesh,Kasim Nadaf,3524,False,Mahottari,2,UML
Madhesh,Manoj Kumar Singh,1516,False,Mahottari,3,UML
Madhesh,Neelam Adhikari,6192,False,Mahottari,4,UML
Madhesh,Manoj Kumar Devkota,6101,False,Sarlahi,1,UML
Madhesh,Nageshowr Sah,1413,False,Sarlahi,2,UML
