province,candidate,votes,winner,district_name,constituency,party,election_year
Bagmati,Ram Chandra Khadka,16307,False,Ramechhap,1,NC,2082
Bagmati,Ajay Baby Shivakoti,12298,False,Dolakha,1,NC,2082
Bagmati,Janga Bahadur Lama,11293,False,Sindhupalchok,1,NC,2082
Bagmati,Bansalal Tamang,19146,False,Sindhupalchok,2,NC,2082
Bagmati,Gunraj Tamang,19166,False,Kavrepalanchok,1,NC,2082
Bagmati,Madhu Prasad Acharya,17868,False,Kavrepalanchok,2,NC,2082
Bagmati,Uday Shumsher J.B. Rana,13520,False,Lalitpur,1,NC,2082
Bagmati,Prem Krishna Maharjan,7420,False,Lalitpur,2,NC,2082
Bagmati,Jitendra Kumar Shrestha,9045,False,Lalitpur,3,NC,2082
Bagmati,Kiran Neupane,4282,False,Bhaktapur,1,NC,2082
Bagmati,Kavir Rana,8401,False,Bhaktapur,2,NC,2082
Bagmati,Prabal Thapa Chhetri,6364,False,Kathmandu,1,NC,2082
Bagmati,Kabir Sharma,8874,False,Kathmandu,2,NC,2082
Bagmati,Ramesh Aryal,6000,False,Kathmandu,3,NC,2082
Bagmati,Sachin Timilsena,8824,False,Kathmandu,4,NC,2082
Bagmati,Pradeep Paudel,9159,False,Kathmandu,5,NC,2082
Bagmati,Krishna Baniya Chhetri,6647,False,Kathmandu,6,NC,2082
Bagmati,Pramod Hari Guragain,3982,False,Kathmandu,7,NC,2082
Bagmati,Sapana Rajbhandari,2835,False,Kathmandu,8,NC,2082
Bagmati,Nanu Maiya Bastola,5460,False,Kathmandu,9,NC,2082
Bagmati,Himal Karki,8100,False,Kathmandu,10,NC,2082
Bagmati,Prakash Sharan Mahat,18597,False,Nuwakot,1,NC,2082
Bagmati,Jagadiswor Narsingh KC,15503,False,Nuwakot,2,NC,2082
Bagmati,Mohan Acharya,10656,True,Rasuwa,1,NC,2082
Bagmati,Krishna Rijal,10080,False,Dhading,1,NC,2082
Bagmati,Ramesh Prasad Dhamala,20279,False,Dhading,2,NC,2082
Bagmati,Mahalaxmi Upadhyay (Dina),14038,False,Makwanpur,1,NC,2082
Bagmati,Buddha Lama,15056,False,Makwanpur,2,NC,2082
Bagmati,Rajendra Prasad Burlakoti,13033,False,Chitwan,1,NC,2082
Bagmati,Meena Kumari Kharel,14564,False,Chitwan,2,NC,2082
Bagmati,Tek Prasad Gurung,8344,False,Chitwan,3,NC,2082
Gandaki,Prem Kumar Khatri,15398,False,Gorkha,1,NC,2082
Gandaki,Prakash Chandra Dawadi,11700,False,Gorkha,2,NC,2082
Gandaki,Gam Prasad Gurung,16569,False,Lamjung,1,NC,2082
Gandaki,Govind Bhattarai,16231,False,Tanahun,1,NC,2082
Gandaki,Shankar Bhandari,14135,False,Tanahun,2,NC,2082
Gandaki,Bharat Raj Dhakal,18857,False,Syangja,1,NC,2082
Gandaki,Bhagwat Prakash Malla,20830,False,Syangja,2,NC,2082
Gandaki,Tilak Bahadur Ranabhat,11214,False,Kaski,1,NC,2082
Gandaki,Madhav Prasad Bastola,6500,False,Kaski,2,NC,2082
Gandaki,Manoj Gurung,12780,False,Kaski,3,NC,2082
Gandaki,Tek Bahadur Gurung,2415,True,Manang,1,NC,2082
Gandaki,Yogesh Gauchan Thakali,3307,True,Mustang,1,NC,2082
Gandaki,Arjun Prasad Joshi,15954,False,Parbat,1,NC,2082
Gandaki,Karna Bahadur Bhandari,6683,False,Myagdi,1,NC,2082
Gandaki,Bhim Bahadur Shrees Rana,11944,False,Baglung,1,NC,2082
Gandaki,Tek Raj Paudel,11868,False,Baglung,2,NC,2082
Gandaki,Bal Krishna Ghimire,16293,False,Nawalparasi East,1,NC,2082
Gandaki,Om Bahadur Gharti,14713,False,Nawalparasi East,2,NC,2082
Lumbini,Chandrakant Bhandari,13505,False,Gulmi,1,NC,2082
Lumbini,Bhuwan Prasad Shrestha,14434,False,Gulmi,2,NC,2082
Lumbini,Sandip Rana,18336,True,Palpa,1,NC,2082
Lumbini,Himal Datta Shrestha,12992,False,Palpa,2,NC,2082
Lumbini,Hira Bahadur Khatri,11982,False,Rupandehi,1,NC,2082
Lumbini,Chunna Prasad Sharma,9392,False,Rupandehi,2,NC,2082
Lumbini,Sushil Gurung,8435,False,Rupandehi,3,NC,2082
Lumbini,Ashutosh Mishra,15613,False,Rupandehi,4,NC,2082
Lumbini,Bharat Kumar Shah,12624,False,Rupandehi,5,NC,2082
Lumbini,Bishnu Prasad Khanal,18983,False,Arghakhanchi,1,NC,2082
Lumbini,Atahar Kamal Musalman,14582,False,Kapilvastu,1,NC,2082
Lumbini,Surendra Raj Acharya,21527,False,Kapilvastu,2,NC,2082
Lumbini,Abhishek Pratap Shah,23535,True,Kapilvastu,3,NC,2082
Lumbini,Dr. Govind Raj Pokharel,18338,False,Pyuthan,1,NC,2082
Lumbini,Sudan Kumar Oli,12008,False,Rolpa,1,NC,2082
Lumbini,Yogendra Chaudhary,15280,False,Dang,1,NC,2082
Lumbini,Kiran Kishor Ghimire,11558,False,Dang,2,NC,2082
Lumbini,Deepak Giri,16453,False,Dang,3,NC,2082
Lumbini,Sanjay Kumar Gautam,12722,False,Bardiya,1,NC,2082
Lumbini,Kishor Singh Rathore,20402,False,Bardiya,2,NC,2082
Lumbini,Narayan Prasad Goudel,15301,False,Banke,1,NC,2082
