province,district_name,constituency,party,votes,winner,election_year
Koshi,Khotang,1,नेपाल मजदुर किसान पार्टी,140,False,2079
Koshi,Khotang,1,मंगोल नेशनल अर्गनाइजेसन,131,False,2079
Koshi,Okhaldhunga,1,Nepali Congress,33556,True,2079
Koshi,Okhaldhunga,1,CPN-UML,26738,False,2079
Koshi,Okhaldhunga,1,Janata Samajwadi Party Nepal,897,False,2079
Koshi,Okhaldhunga,1,Rastriya Swatantra Party,714,False,2079
Koshi,Okhaldhunga,1,मंगोल नेशनल अर्गनाइजेसन,356,False,2079
Koshi,Okhaldhunga,1,Rastriya Prajatantra Party,222,False,2079
Koshi,Okhaldhunga,1,नेपाल मजदुर किसान पार्टी,88,False,2079
Koshi,Okhaldhunga,1,Federal Democratic National Forum,14,False,2079
Koshi,Udayapur,1,Nepali Congress,31270,True,2079
Koshi,Udayapur,1,CPN-UML,28891,False,2079
Koshi,Udayapur,1,Rastriya Prajatantra Party,3915,False,2079
Koshi,Udayapur,1,Rastriya Swatantra Party,3444,False,2079
Koshi,Udayapur,1,Janata Samajwadi Party Nepal,1906,False,2079
Koshi,Udayapur,1,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी लेनिनवादी),637,False,2079
Koshi,Udayapur,1,मंगोल नेशनल अर्गनाइजेसन,442,False,2079
Koshi,Udayapur,1,नागरिक उन्मुक्ति पार्टी,206,False,2079
Koshi,Udayapur,1,सचेत नेपाली पार्टी(एकल चुनाव चिन्ह),182,False,2079
Koshi,Udayapur,1,"लोकतान्त्रिक समाजवादी पार्टी, नेपाल",146,False,2079
Koshi,Udayapur,1,Independent,138,False,2079
Koshi,Udayapur,1,राष्ट्रिय जनमुक्ति पार्टी,120,False,2079
Koshi,Udayapur,1,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल,63,False,2079
Koshi,Udayapur,1,नेपाल मजदुर किसान पार्टी,44,False,2079
Koshi,Udayapur,1,"जनता प्रगतिशिल पार्टी, नेपाल",38,False,2079
